암호화요양기호,노선번호
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNjEjJDEjJDQjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,8호선 남위례역
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,60
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,231
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,315
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,343
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,362
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,3012
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,220
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,33-1
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,51
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,720-1
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNTEjJDEjJDYjJDgz,신분당선
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,9404
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,3500
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,7007-1
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,9000
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,9407
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,720-1A
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,109
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,109-1
