암호화요양기호,위치_공공건물(장소)명
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzMxIyQxIyQzIyQ4OSQyNjE4MzIjNDEjJDEjJDgjJDgz,8호선 신흥역 13번 출구
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzMxIyQxIyQzIyQ5MiQzNjE0ODEjNTEjJDEjJDYjJDgz,AK백화점 6번 gate 나산프라자
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzMxIyQyIyQzIyQwMCQzNjE4MzIjODEjJDEjJDYjJDgz,양지동 주민센터
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzQxIyQxIyQ3IyQ5OSQyNjE0ODEjNzEjJDEjJDgjJDgz,판교테크노밸리 삼환하이펙스 B동 301호
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzQxIyQxIyQ3IyQwMyQyNjEyMjIjNzEjJDEjJDgjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzExIyQxIyQ3IyQ5MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,상탑초등학교
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzExIyQxIyQ3IyQwMyQyNjEwMDIjNDEjJDEjJDQjJDgz,성남 E마트 대각선 (구)인하병원 사거리 제중빌딩3층
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNDEjJDEjJDgjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNjEjJDEjJDgjJDgz,JS웨딩홀(구.뉴타운관광호텔)
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzExIyQxIyQzIyQ5MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,오리역 3번출구앞
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjNTEjJDEjJDYjJDgz,중앙시장
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzIxIyQxIyQ1IyQwMyQ0NjE0ODEjNDEjJDEjJDQjJDgz,경기도 성남시 서현로204 엘리에클라트2차 4층 보스턴키즈치과
